Rank,Model,Macro-F1,Accuracy,Precision,Recall
1,LogReg_C2.0,0.7072400217521034,0.7573644933228594,0.694628858447803,0.72417716385032
2,LogReg_C1.0,0.7032598184449521,0.7569717203456402,0.6861762880422136,0.7269698139963434
3,LinearSVM_C0.5,0.6994542366786514,0.7503927729772192,0.7011071289829778,0.7012074248807476
4,LinearSVM_C1.0,0.6955646012119147,0.747643362136685,0.700859838413482,0.6935448286889895
5,LinearSVM_C2.0,0.6923832957102202,0.7450903377847604,0.699865882995964,0.6884335103071166
6,SGD_Hinge,0.6919197366151199,0.7465632364493323,0.6731094496834834,0.7264580168268886
7,PassiveAggressive,0.6878971558975396,0.7436174391201885,0.7076461154307637,0.6758831311852045
8,RidgeClassifier,0.6864928711604241,0.7337981146897093,0.7118988696693088,0.6727629621828416
9,SGD_Log,0.6704313442806822,0.7305577376276512,0.6429832703014994,0.7254115063811126
10,ComplementNB,0.46639184894967495,0.5086410054988216,0.4943761374601698,0.6379229040401568
11,MultinomialNB,0.3647609385120211,0.40298507462686567,0.4531918649332865,0.5423349753344305
