text,true,pred
dealing disease since 2006 attempted hang tied around doorknob leaned forward guess far enough though started blackout leg caught weight idk try finally happened,Depression,Suicidal
anxious right hope life miserable year cannot believe get eye checked one getting sore life medical doctor really love idea pain sickness sarcasm bloody sick crap really,Stress,Anxiety
want kill,Suicidal,Normal
hello guy first sorry bad english going make mistake hope readable made post ago fight dad lost ex etc see professional take medication kill love mom want break especially lost pretty much family problem suicidal cut lot lost broken know make dark thought overthink stop really want die cannot guy tip forget ex dad stop never ending dark thought please tell thank much advance take care everybody 20 suicidal need advice help please,Depression,Suicidal
going pull away act like everything fine going talk anyone going bubble stop asking ill leave livesthey forget quickly ill wait last commitment seen take step meant ending away home mom see move free burden everyone else would bat eye already close gone themi die forgotten cannot see past 25 anyways ill fulfilling duty dump planet get worse time go gift cannot see getting simple joy life keep motivated stick around every climb made fall holei want keep going without know ill fade away memory instant bad bad want forgotten,Depression,Suicidal
became depressed gained lot weight make even insecure look also dropped university come back finish degree im 21 year old already graduated college working part time job goal become flight attendant im 162cm tall weight 49kg think safe say look fit also good looking face im quite popular workplace among coworkers customer,Normal,Depression
hello everyone 9 year old male perfectly normal bmi 9 lb cm 0kg never smoked life never tried drug drink alcohol history cancer heart issue family begun july woke intense chest pain thought wa heart attack mother slashed er blood test ekg ultrasound everything wa clear one week later caught covid symptom mild wa also vaccinated september took cbc order get accutane treatment acne cbc came back high wbc lymphocyte 0 normal 0 0 0 wbc 0 lymphocyte told might cause covid retake cbc month meanwhile begun get daily intense chest pain upper left part feel heart got another appointment cardiologist october went cardiologist ekg echo told pvc wasnt something concerning doc told heart issue cbc came back elevated wbc lymphocyte time also developed everyday abdominal pain lot gas like fart time fart last long also feel fullness abdomen get spasm fasciculation body everyday got abdominal ultrasound came back normal poop also come back thin layer look nothing like december met hematologist oncologist put like 0 test everything came back clear except wbc elevated time lymphocyte september 0 december hematologist told reactive lymphocyticosis nothing serious caught covid july er wbc lympho perfectly normal said retake cbc month order check also visited gastroenterologist said probably nothing since young prescribed omeprazole 0 day help also take vit supplement deficiency also poop culture came back clear decided look thyroid heart etc got thyroid ultrasound lab bloodwork everything came back clear along inflammation lab crp igm igg igg negative latest test conducted december like month living daily pain feel something like rapid heartbeat abdomen jerk twitch hand back etc body pumping time think called fasciculation get like every 0 minute annoying also get intense chest pain everyday feel like heart gon na leave something really painful feel like dying pain intense abdomen also hurt everyday much gas ramblings think everywhere body stand belly usually hurt upper left part pain everywhere also severely bloated also got covid day new year im afraid take cbc cause believe wbc skyrocketed symptom worse first time high fever day 9 c still cough feel really mess immune system already messed guess already messed covid symptom much worse july even though delta variant july omicron weaker asked get colonscopy told meant people age 0 family history candidate plus blood weight loss etc pretty much every test taken come normal except wbc keep raising every month afraid something serious like colon cancer crohn quality life ha really deteriorated study gon na fail uni final anything daily pain heart hurt acne ha dominated body really everywhere chest back butt face even thigh talking really bad cystic acne pimple bad break lie bed back bleeds still gotten accutane blood also want start working pain scaring shit thinking gon na pa treadmill something acne ha also destroyed self esteem worse ever battling almost year also get random pain body lower back headache arm etc really wan na die yet life really shitty hell would give everything feel good tbh know test take anymore shed light case ask mri parent really got full ripped dragging many appointment 0 since july pay literally feel left part belly pumping right tried taking laxative dulcolax day constipation thin stool turn diarrhea pain also get sharp pain last second afraid cancer tumor leukemia autoimmune make suffer life thought make wan na vomit 9 goddammit think covid might triggered autoimmune disease something guess nerve system really broken right lastly mentally healthy ha really deteriorated point symptom started july today th march everything lot worse wa wake sleep panic attack thinking death time,Depression,Anxiety
mild dad used hit butt call love tap told hed say youll understand older like said mild dont think constitutes sex abuse absolutely uncomfortable boundary crossed hardcore told dad wanted play football 8 told try lingerie league instead mom used go clothes shopping would tell wear opened back low cut shirt thats boy like even though didnt want one night walked room completely naked turned light woke stood five second completely nude turned light,Stress,Normal
stuck awful job cannot stand construction industry bos slave driver understaffed keep getting project every day charge half even though little experience customer constantly asking faster faster deadline ceo keep obliging without asking usi looking new job almost year gotten reply despite reworking resume reviewed countless timesi want quit would mean money mean anythingbut keep getting angrier tired every day eventually able work anymore worse may end snapping strangling bos one coworkersi almost 30 significant friend thing used make happy longer constantly thinking work horror next day bringi know else except kill either stuck endless hell foreveri theoretically enough money live year without work since reply application may never get another job also help real idea actually want hate job hate field wellwhat hell supposed trapped horrible job know,Depression,Suicidal
leader band tiredamphis eye growing old,Suicidal,Normal
