text,true,pred
dealing disease since 2006 attempted hang tied around doorknob leaned forward guess far enough though started blackout leg caught weight idk try finally happened,Depression,Suicidal
anxiety gave anxiety surrounded like x200b skipping college point really care anything anymore help met girl completely split friend apart long story started skipping lot class good grade computer programming class actually curious,Normal,Stress
anxious right hope life miserable year cannot believe get eye checked one getting sore life medical doctor really love idea pain sickness sarcasm bloody sick crap really,Stress,Anxiety
want kill,Suicidal,Normal
hello guy first sorry bad english going make mistake hope readable made post ago fight dad lost ex etc see professional take medication kill love mom want break especially lost pretty much family problem suicidal cut lot lost broken know make dark thought overthink stop really want die cannot guy tip forget ex dad stop never ending dark thought please tell thank much advance take care everybody 20 suicidal need advice help please,Depression,Suicidal
going pull away act like everything fine going talk anyone going bubble stop asking ill leave livesthey forget quickly ill wait last commitment seen take step meant ending away home mom see move free burden everyone else would bat eye already close gone themi die forgotten cannot see past 25 anyways ill fulfilling duty dump planet get worse time go gift cannot see getting simple joy life keep motivated stick around every climb made fall holei want keep going without know ill fade away memory instant bad bad want forgotten,Depression,Suicidal
became depressed gained lot weight make even insecure look also dropped university come back finish degree im 21 year old already graduated college working part time job goal become flight attendant im 162cm tall weight 49kg think safe say look fit also good looking face im quite popular workplace among coworkers customer,Normal,Depression
hello everyone 9 year old male perfectly normal bmi 9 lb cm 0kg never smoked life never tried drug drink alcohol history cancer heart issue family begun july woke intense chest pain thought wa heart attack mother slashed er blood test ekg ultrasound everything wa clear one week later caught covid symptom mild wa also vaccinated september took cbc order get accutane treatment acne cbc came back high wbc lymphocyte 0 normal 0 0 0 wbc 0 lymphocyte told might cause covid retake cbc month meanwhile begun get daily intense chest pain upper left part feel heart got another appointment cardiologist october went cardiologist ekg echo told pvc wasnt something concerning doc told heart issue cbc came back elevated wbc lymphocyte time also developed everyday abdominal pain lot gas like fart time fart last long also feel fullness abdomen get spasm fasciculation body everyday got abdominal ultrasound came back normal poop also come back thin layer look nothing like december met hematologist oncologist put like 0 test everything came back clear except wbc elevated time lymphocyte september 0 december hematologist told reactive lymphocyticosis nothing serious caught covid july er wbc lympho perfectly normal said retake cbc month order check also visited gastroenterologist said probably nothing since young prescribed omeprazole 0 day help also take vit supplement deficiency also poop culture came back clear decided look thyroid heart etc got thyroid ultrasound lab bloodwork everything came back clear along inflammation lab crp igm igg igg negative latest test conducted december like month living daily pain feel something like rapid heartbeat abdomen jerk twitch hand back etc body pumping time think called fasciculation get like every 0 minute annoying also get intense chest pain everyday feel like heart gon na leave something really painful feel like dying pain intense abdomen also hurt everyday much gas ramblings think everywhere body stand belly usually hurt upper left part pain everywhere also severely bloated also got covid day new year im afraid take cbc cause believe wbc skyrocketed symptom worse first time high fever day 9 c still cough feel really mess immune system already messed guess already messed covid symptom much worse july even though delta variant july omicron weaker asked get colonscopy told meant people age 0 family history candidate plus blood weight loss etc pretty much every test taken come normal except wbc keep raising every month afraid something serious like colon cancer crohn quality life ha really deteriorated study gon na fail uni final anything daily pain heart hurt acne ha dominated body really everywhere chest back butt face even thigh talking really bad cystic acne pimple bad break lie bed back bleeds still gotten accutane blood also want start working pain scaring shit thinking gon na pa treadmill something acne ha also destroyed self esteem worse ever battling almost year also get random pain body lower back headache arm etc really wan na die yet life really shitty hell would give everything feel good tbh know test take anymore shed light case ask mri parent really got full ripped dragging many appointment 0 since july pay literally feel left part belly pumping right tried taking laxative dulcolax day constipation thin stool turn diarrhea pain also get sharp pain last second afraid cancer tumor leukemia autoimmune make suffer life thought make wan na vomit 9 goddammit think covid might triggered autoimmune disease something guess nerve system really broken right lastly mentally healthy ha really deteriorated point symptom started july today th march everything lot worse wa wake sleep panic attack thinking death time,Depression,Anxiety
stuck awful job cannot stand construction industry bos slave driver understaffed keep getting project every day charge half even though little experience customer constantly asking faster faster deadline ceo keep obliging without asking usi looking new job almost year gotten reply despite reworking resume reviewed countless timesi want quit would mean money mean anythingbut keep getting angrier tired every day eventually able work anymore worse may end snapping strangling bos one coworkersi almost 30 significant friend thing used make happy longer constantly thinking work horror next day bringi know else except kill either stuck endless hell foreveri theoretically enough money live year without work since reply application may never get another job also help real idea actually want hate job hate field wellwhat hell supposed trapped horrible job know,Depression,Suicidal
leader band tiredamphis eye growing old,Suicidal,Normal
got friend cannot party neighbour cunt got nothing look forward give going depressing season ever everyone happy enjoying suicidal room fucking hate time year,Depression,Suicidal
mom wife two beautiful boy husband started insomnia due going back school getting covid trying homeschool got horrible anxiety stopped sleeping tried several sleeping pill avail led prescription lexapro temazepam lexapro sent spiral 5 week stop horrible side effect trying taper temazepam know symptom drug withdrawal reacted horribly thesis drug dream insomnia week week thing never get better anxious suicidal kind strange symptom drs understand want prescribe drug afraid med caused permanent damage even short time taken like trapped hell barely care let alone kid suicide seems like way cannot put anymore want die would literally going crazy cannot take med also want permanently damage family either mom 2 bento withdrawal,Suicidal,Depression
sister life bf 2 year old nephew 30 minute away day ago asked nephew come spend next monday friday bf going town doesnt want house alone without live family guess sometimes get uncomfortable said okay sure live 500 sqft studio pullout couch addition bed bf 3 year 5 month ago unofficially moved unofficial share bill stuff mail whatnot still go parent living,Normal,Stress
hate life much social life till 27 like back day kindergarden teacher literally begged child least try befriend exclude activity still got marginalized 0 friend got bullied lot still cheerful person till moved parent house went uniand thing started turn better guess covid happened isolation fact live literally shit country romania made even worse hurt impossibility find romantic partner tried every dating app possible went every social event restriction lifted literally trying hard check box success single chancealso tried therapycounselling help one tell eventually find someone cannot menrally exhausted try anymore feel condemned live dream nightmare stuff called life dream every aspect life point going absolutely perfect social aspect give suicidal thought every daythe thing aggressive troll internet said something bad toabout sorry mean unending frustratiin speaks sometimes wish terminal disease know certainly die soon,Suicidal,Depression
feel like wish somebody love wish one loved hurt feel like depression would easier go someone else feel like one love would one get every time every single time fall back hole get hurt one want something every time feel like potentially someone date never work hard like someone nothing ever good come see friend success love life ex girlfriend hurt hurt bad emotionally held hostage abused emotionally played like band band instrument try hard got far end even matter shit every fucking time even future girlfriend problem would rather go anyone fuck shit bro sad life hard sometimes get put fight every day much live alone,Depression,Suicidal
would help much could use car worry insurance etc would huge help would also paint picture person help avid painter want get done food everything like necessity taken care fund get done 7th help would appreciated much,Normal,Depression
unfortunately 17f three month away turning 18 expect medical advice rant year ago psych ward previous attempt suicide assigned see therapist since got discharged multiple fucked episode since recent one costing job temporarily work month therapist told likely bipolar disorder assigned see doctor next month car narcissistic father take told could take u want yelled yelling mother asking financial support saying exactly left refused take waiting month care swore blaming u bullshit narcissism said mother apologize action going stop taking care dental need doctor appointment etc mom believe medication really fan either since bipolar pointed hallucination paranoia insomnia impulsive decision suicide attempt make sense dramatic shift mood time year believe manic moment decision making get waaaaay fucked usual loud fast talking energized slept 5 hour night sleeping regardless 9 hour shift work insight happened many time really irritable mother like 18 say care believe medicine like medicine either want like anymore call dramatic feel like going hell mind everyone feel need call bitchme sleep closing work almost remote chance sleeping niece start screaming head offmy sister recently shit cry recent miscarriage baseball game asking go home wanted see fucking big rich lmao literally yelled whole time asking leave front zillion people start hissing blaming waking child clearly already awake screaming got upme pissed thismy sister bitch momme exhausted cannot sleep due episodemy mom take garbageme okaymy mom said everything around lay theremedid sleep work hate life general want react way keep freaking get done promise youmy mom always say always thing done way proceeds threaten call dad someone yell memeyells expletive extreme anger start screaming covering ear sensory overload begs leave alone nothing would relieving pointmy mom walk away dramaticmy mom get disease brain make live like make angry say stuff like thatmy dad nutshell bipolar narcissistic blackmail taking care mei hate people try tell teenager want people go hell tried die 3 time cannot function without stimulant lost child shit feeling abandonment issue dad leaving one forcing world problem replacing still let u forget lol mention people called mess left used romantic level three current diagnosis already express get called bitch somebody worsei donei feel like genuinely cry mood let deal manic episode called dramatic mother let go medication long story look,Depression,Bipolar
thinking quiting new psychologist method trying teach overcome depression basically old psychologist old plan timetable follow thing motivation literally anything 0 atleast able carry daily chore goddamn take toll suicidal thought constantly jabbing psychiatrist hand said could take ketamine subjective since depression 7 year guy think right thing,Suicidal,Depression
misery much worse prelamictal torment much scarier feel almost demonic like someone outside tormenting mean literally psychotically subjective description cry spell day mean entire day doesnt matter hanging doesnt matter work quit time doesnt matter working shake cry shake cry like wailing violent cry terrifying feel chemical control like absence drug scary people around,Stress,Bipolar
guess really redeeming quality woman ever love,Depression,Normal
make call landlord tell still rent failure many way cannot stop cry know alive anymore maybe stalker right maybe get deeply unhappy nothing going get better forced go event downtown people would take anxiety consideration terrified going get covid two week also birthdayi cannot anymore okay,Suicidal,Depression
may may accompanied good news injured get well soon sorrow turn love quieter anxiety prayer patientsenjamu,Anxiety,Normal
36 one thing constantly think leaving place insomnia longer remember oldest 5 younger sibling married child every tree see want hang every pillar see want take seatbelt full throttle ram seems like opposite sex like use ok first affection ever got done everything everyone think make 40 want either,Depression,Suicidal
money spent 7000 last month account overdrawn opened another credit card get somebody take card away lol,Bipolar,Normal
hate really hate much like im basically worst impossible even keep friend always end hating like cant normal like everyone else mind spiral making think stuff dont want making depressed end making people talk hate make everything even worse like whats even point existence,Depression,Personality disorder
went 30 20 sunday day 3 horrible anxiety irritability pas anyone lower dosage prozac feel horrible,Depression,Anxiety
going med telling doc tired side effect feeling like numb lazy blob want feel going take gabapentin clonidine smoke cbd lt2 thc everything else put away need functional calm,Bipolar,Depression
make feel damaged person knowing tried 6 year dating barely got past 2nd date 30 would choose relationship seems like may happen different feeling knowing much choice staying single compared chose lifestyle plenty option,Depression,Stress
context 19 year old job go school trying find job getting permit seems vaini live toxic enviroment mother grandfather sexually abused child father give slightest shit instead reminds much burden every two second mother hella abusive point ganging grandfathermy body always feel exhausted tired medication fucking working much pain fucking time cannot take anymoremy mother like comment self harm scar insult mei friend nobody give shit emotion every time open get invalidated dismissed entirely know people job care would nice someone understood mei fed want slit throat emptiness hopelessness becoming worse,Depression,Suicidal
cannot bring anything almost year stopped giving exam completely one coming instead studying wasting time cannot idea speak front someone long crippling even front screen studyng seems pointless already know probably chicken anyways know ever able graduate even able work apparently kind responsibility way much handle already told parent want quit keep saying alternative least try think sick tired mean would blame girlfriend probably leave realizes much failure mess tried go therapy quite work felt like could thrust one bit sleeping becoming harder harder want sleep wake next day try delay inevitable sleeping know dumb cannot help suicide seems everyday closer cannot function like normal human basically parasite serve purpose wasting resource know mentally incapable lazy trying find excuse latter true deserve death even know stopping probably fear failure idea making people love unconditionally suffer throught pain loss time really think would better without long term insert clickbait title,Suicidal,Depression
nobody listens hello tired people interested say whole family annoying example today trying talk something really important mother meant lot dont normally open mother hearing went mm okay went phone car held back tear entire drive home finally got room cried eye happened lot mother emotional person whenever open think maybe react nicely one last straw fact couldnt even say anything back thing appalling broke heart another person frustrating brother could listen talk video game four hour straight great conversation moment mention something want talk go phone ignores dont get wrong way better mother still really disappointing always taught hold never speak feeling really suck really want goo friend dont mind expressive listen stressed let cry shoulder vise versa wanna able talk stuff enjoy people actually interested say anyways never going talk anything family ever one day real family see ya,Stress,Personality disorder
parent family love amazing life many dog cat hate life always think killing myselfi hate look pain feel try act like want anyone notice know brother joking feel pain feel bad still hurt like,Depression,Suicidal
hang like doc mamai face basic question hang asking question cannot cannot cannot even settle ask someone else okay accepted siye laaaa,Normal,Suicidal
cannot get feeling nothing feel good finished spring break chance work every day even working felt overwhelmingly anxious cannot state concisely thinking,Stress,Anxiety
cps came take sister kid yesterday thought house clean enough one help life shamble,Depression,Normal
remember felt like anxious one medicine none one put take edge cannot even play xbox live without holding breath get anxious people hear breathe mute mic give lung reprieve go back holding thanks reading little rant,Stress,Anxiety
gotta go bank tomorrow see fuck going problem 3 week ago bi,Suicidal,Normal
put together sobbing hard almost made vomit last night pounding headache hold breath parent would hear cryingi love since 2018 rejected ghosted 2020 cry constantly grieving every day 3 year never hd girlfriend 25 pain never able contributed decision kill already attempted failed hang time something cope every day sickness never go away pain emotional physical dealing every single day since fall 2018it readsdear ki wish knew special wish knew happy would together know would make happy let happy want love muchi wish knew happy make wish knew full love heart wish could hold arm protect one could hurt youwhen young learned word always french toujours always sounded like beautiful graceful yet heavy word something sound sound melancholy sentimental genuine strongyou always heart toujours always always heart promisei love much written suicide note going send different people one going girl love,Depression,Suicidal
parent separated 9 since everything went wrong childhood cat grandpa died month later felt sad almost everyday cried almost every night year later went primary school thing got even worst started social anxiety made miss lot class also difficulty new school even tho used quite good old school 11 back thought lot suicide knew still hope future bad grade parent took specialised center discover going brain discovered gifted made feel even worse could understand bad grade supposed much ease grade went extremely mental health still friend life really good parent tried find solution problem disgusted living wanted start everything back 0 parent thought would good idea move another country speaks another language ask even know stupid choose option tried everything new country nothing worked multiple year sadness stress officially diagnosed severe depression social anxiety psychiatrist point even going school anymore started homeschooling work anxiety also tried medication multiple month made depression even worst 16 nothing scholar stressed sad angry lonely friend thousand kilometre dad cannot find anything stop constant pain killing hope almost lived longer pain happy,Suicidal,Depression
sadly dead yet please pray die sleep tonightthank dead yet,Depression,Suicidal
february 2015 took time took clark cabin september second trip decided search job redding late october moved redding clark would call update medical credential process going would share family would always repeat manuel dont know much longer handle fast pace bay area people rush dont even know rush one new grievance avenue life jokingly call expressway sound constant vehicle traffic definitely contrast area previously filled orchard,Normal,Depression
friday let go job saturday birthday sunday spent bed today know anxious finance received letter today irs stating owe 6099 back tax garnishment begin immediately upon reading state quit terminated last check withheld entirety child support insurance beautiful daughter make less 400 every biweekly pay check though stressful could deal left enough money cover rent typically little extra spending anything sometimes could eat day still came creative way find food even 331 average check get headstrong pretty resilient grip depression part thought suicide come benefit others financially child really put kibosh realistically contemplating however whole different story get see child 34 time month child mother lost virginity 17 23 34 wasis smart graduating h valedictorian private school summa cum laude barely graduated h talented musician relied heavily wit charm decreasingly good look afraid take court know court view taking virginity slightly young age live fear care immensely daughter mother attest others soul mate forgive ramblings longer get quicker lose focus deep hole know whether worth trying climb side turned mud begin,Suicidal,Stress
like bottle pill counter old antidepressant want live anymore know fail much trouble,Depression,Suicidal
thank feel free send message need someone talk toplease,Suicidal,Depression
22 year old newly wedded wife 5 month married husband waiting right guy whole life waited whole life men scared grew believing men like abuser dad abused majority 22 year throughout engagement made clear wanted dad walk aisle met question,Normal,Stress
panic attack went er need support would anyone want talk bit,Anxiety,Suicidal
got done watching new house episode definitely one saddest episode ever,Normal,Bipolar
giving mood stabilizer make feel better like year never happenedi cannot wait longer longest day ever even close endingi know give anything week say least waiting putting everything away much timethey letting suffer purpose think somebody told dropping themself roof obviously tried kill themself past stand living without kind help except fucking lithium even idea somebody elses actually cared enough mental health somethingi feeling like way long even find killing option anymore need someone cannot shit thrown act like nothing need solution right,Depression,Suicidal
dae talk much overshare reason usually secretive person start talking almost always go unneccessary detail,Personality disorder,Normal
ciaoi 29 whole body rotting awaybad teeth fingernail hair skin obese ugly low paying job schizophrenia bipolar disorder social anxiety apartment fucking smelly messi feel dead human fucking garbage trash shit worthless piece rotting fleshthere way even care anymorei wish could change everything wish willpower wish human againfuck soon 30 year old failure,Depression,Suicidal
fucked someone kill please fucking shoot fucked big time deserve die lost 150 dollar cannot pay bill,Depression,Suicidal
sleeping 6 hour heart racing chest pain hello sick leave work 3 month tomorrow im starting slowly 3 hour throughout january persistent restlessness sleeping 46 hour every night woken slept 24 hour getting noon past two week tried get 8 match work schedule sleep 6 hour stay bed trying get last two hour worry im still sleeping full night im sure stress hiatal hernia chronic neck pain wake wake rather abruptly im guessing stress sometimes wake racing heart speaking racing heart started get randomly racing heart throughout day wonder im starting work im nervous social anxiety im trying fit new first mindset im big people pleaser break habit also keep getting chest pain im sure hiatal hernia stress idk im feeling uneasy feeling better 3 month,Stress,Anxiety
leaving place manager attempting rush u get apartment serviced 24 hour notice intimidation behaving angry way leaving mean voicemail paper pissed door yelled 1 lived toward last month documenting everything collecting paper copy communication another narcissistic manager tenant animal abuser wish actual law aspca would partner coulda helped 1 living second apartment,Normal,Stress
normal childhood want talk today say happy child like really think made cry easely sensitive person know like curse ti honest hate much smth control could control fucking would one ubderstands cry insignificant thing always invalidated even little stupid child invalidated feeling made fucking believe joke appearence normal made believe abuse normal relationship trauma come secondhand abuse long story short born raised surrounded abuse scream etc anyway sometimes dad joke mistake today talking parent remember conv quite well go even planned mom laughed know every child planned like normal someone hear occasionally like wrong upset short time ago like even want crazy told started cry mom told cry stupid thing care told even laughed funny fucking find funny find wrong like hurt laugh normal find normal even plan,Suicidal,Depression
really much say anything change mind feel truly feel like matter cannot help feel like really matter,Suicidal,Depression
get close people leave fight get rock got feeling already bad childhood got sexually harassed dad used beat scream got one tell confidence low hate know would never change going always happen end suffering kill future kid raise failure getting ditched,Depression,Suicidal
im looking advice try help relative shes going ugly divorce husband who trying get sole custody threeyearold son he dating woman substance abuse problem criminal record met three week ago taking son sleep residence unbeknownst relative till recently monday told he filing divorce,Normal,Stress
